2017_10_18,23:58,33581,16155,-23.4529065,-46.6846135
2017_10_18,23:58,33581,16026,-23.452825,-46.6848085
2017_10_18,23:58,33581,16536,-23.5236885,-46.6855875
2017_10_18,23:58,33581,16061,-23.4929485,-46.6964245
2017_10_18,23:58,591,11426,-23.477851,-46.7212975
2017_10_18,23:58,591,11899,-23.534698,-46.645013875
2017_10_18,23:58,591,11877,-23.52604475,-46.677273
2017_10_18,23:58,33359,11876,-23.486127875,-46.71543925
2017_10_18,23:58,33359,11325,-23.44700575,-46.72594
2017_10_18,23:58,33359,11878,-23.524211,-46.68389975
2017_10_18,23:58,889,16727,-23.5160725,-46.698696
2017_10_18,23:58,889,16751,-23.526152,-46.6664055
2017_10_18,23:58,889,16709,-23.523917375,-46.695017375
2017_10_18,23:58,889,16547,-23.529549375,-46.679746125
2017_10_18,23:58,889,16634,-23.5268235,-46.666075
2017_10_18,23:58,33657,16137,-23.52852625,-46.67573325
2017_10_18,23:58,33657,16292,-23.460438,-46.698212
2017_10_18,23:58,33657,16437,-23.502443,-46.6920885
2017_10_18,23:58,33657,16687,-23.512847625,-46.690424625
2017_10_18,23:58,33657,16380,-23.525937,-46.6674535
2017_10_18,23:58,33657,16070,-23.5227418125,-46.69177575
2017_10_18,23:58,33657,16713,-23.525937,-46.6674535
2017_10_18,23:58,33657,16614,-23.512847625,-46.690424625
2017_10_18,23:58,33657,16028,-23.525937,-46.6674535
2017_10_18,23:58,33657,16524,-23.500414,-46.6928655
2017_10_18,23:58,33657,16424,-23.460242,-46.6993505
2017_10_18,23:58,867,23041,-23.561630375,-46.68836725
2017_10_18,23:58,33635,23051,-23.5357835,-46.67413225
2017_10_18,23:58,33635,23034,-23.5659245,-46.7010355
2017_10_18,23:58,508,81345,-23.5268235,-46.666075
2017_10_18,23:58,508,81335,-23.570547,-46.759008
